Term,Definition,Example
artistic effects,"Stylization techniques that transform photographs into “painterly” or “sketch” looks by combining edge detection, texture synthesis, and color remapping.",Applying neural style transfer so a portrait resembles a Van Gogh painting.
augmented reality,"Overlaying computer-generated graphics onto live camera views in real time, tightly registered with the real world. It relies on robust pose estimation and tracking.",Viewing 3D furniture models in your room through a smartphone AR app.
auto-detected features,"Interest points (corners, blobs) and descriptors (SIFT, ORB) that are automatically located and encoded for tasks like matching, tracking, and stitching.",Extracting ORB keypoints on two overlapping images to compute their homography.
autoencoders,"Neural nets that learn to compress inputs into a low-dimensional code and then reconstruct them, useful for denoising, dimensionality reduction, and anomaly detection. They consist of encoder and decoder parts.",Training an autoencoder to remove Gaussian noise from face images in PyTorch.
autonomous navigation,"The process by which a vehicle or robot plans and follows a path in its environment without human intervention, using sensor data (e.g., lidar, cameras, IMUs) and mapping algorithms. It continuously localizes itself and adjusts to dynamic obstacles.",A self-driving car using LiDAR point clouds and GPS to steer through city streets while avoiding pedestrians.
autonomous perception,"The suite of computer-vision and sensor-fusion techniques that enable a system to interpret its surroundings—identifying objects, estimating depth, and recognizing semantic context—without outside guidance.",A drone using onboard stereo cameras to detect and classify obstacles in real time.
autonomous system,"An integrated platform capable of sensing, reasoning, and acting in the real world entirely on its own, often combining navigation, perception, and decision-making modules.","An unmanned delivery robot that maps sidewalks, avoids hazards, and completes routes without human control."
average smoothing filters,"These filters replace each pixel’s value with the arithmetic mean of its neighbors, yielding a simple blur effect that reduces random noise. They are linear and easy to compute, but tend to smooth out edges and fine details.",Applying a 3×3 mean mask to reduce sensor noise in a low-light photograph.
Bartlane service,An early wire-photo (facsimile) transmission service developed in the 1920s that sent newspaper photos over telegraph and radio lines using the Bartlane phototelegraph process.,The Associated Press transmitting a front-page photograph via Bartlane service to distant newspapers.
Bartlane system,"The electro-mechanical apparatus invented by Edward Bartlane for scanning, encoding, and reconstructing images line by line over telegraph circuits, pioneering modern fax technology.",A 1930s Bartlane machine converting a photographic portrait to electrical signals and reassembling it hundreds of miles away.
binary image,"A digital image where each pixel can take only two possible values, typically 0 (background) or 1 (foreground), used to represent shapes or masks.",The silhouette of a scanned document where text pixels are white (1) and background is black (0).
bit depth,The number of bits used to encode the intensity of each pixel in an image; it determines the total number of distinct grey or color levels that can be represented.,An 8-bit grayscale image with bit depth = 8 offers 256 distinct intensity levels (0–255).
bit plane slicing,"Bit plane slicing isolates one or more binary bit-planes of an image, revealing how each bit contributes to overall appearance. By extracting high-order bits you highlight coarse features, while lower-order bits show fine detail and noise.",Extracting the 7th bit-plane of an 8-bit image to emphasize major intensity structures.
black & white,"A monochrome image where pixel intensities range continuously between black and white, but no color channels are present; also called a grayscale image.",A portrait photograph converted to shades of gray for artistic effect.
blind convolution,A convolution operation in which the filter (point-spread function) is unknown and must be estimated jointly with the underlying image—common in blind-deblurring tasks.,Restoring a motion-blurred photo by alternately estimating the blur kernel and the sharp image.
blurring,"The process of smoothing an image by attenuating its high-frequency components, resulting in a softening of edges and fine detail; often achieved with linear or nonlinear filters.",Applying a 5×5 Gaussian filter to remove sensor noise in a low-light photo.
blurring filters,"Blurring filters attenuate high-frequency content so that rapid intensity changes become smoother. Common kernels include box, Gaussian, and average; each yields different degrees and types of blur.",Convolving an image with a Gaussian kernel (σ=1.5) to remove background texture.
BMP file type,"A raster graphics file format (Bitmap) developed by Microsoft that stores uncompressed pixel data along with metadata (dimensions, bit depth), retaining full image quality at the expense of large file size.",Saving a Windows desktop screenshot as a .bmp file to preserve exact pixel values for later editing.
brightness adaptation,"The automatic adjustment of a camera’s exposure settings or a display’s tone mapping to cope with changes in ambient illumination, ensuring that scene details remain visible in highlights and shadows.",A smartphone camera dynamically changing shutter speed and ISO when moving from indoors to bright sunlight.
brightness discrimination,The capability of an observer (biological or algorithmic) to detect small differences in luminance between two adjacent regions; it underlies thresholding and contrast sensitivity studies.,"In a vision test, determining whether a 0.5% increase in patch luminance on a gray background is perceptible."
Butterworth lowpass filter,"A Butterworth lowpass filter provides a smooth, monotonic response in frequency domain with no ripples in the passband. Its roll-off rate is controlled by the filter order, balancing sharp cutoff and ringing artifacts.",Designing a 2nd-order Butterworth with cutoff D₀=50 to blur out details finer than that scale.
C/C++,"C and C++ are high-performance programming languages frequently used in image processing and computer vision for their low-level memory control and efficient execution. C provides procedural constructs, while C++ adds object-oriented abstractions and a rich standard library.",Writing a real-time Sobel edge detector in OpenCV using C++ for direct pixel access and multithreading.
candela,"The candela (cd) is the SI unit of luminous intensity, measuring the light emitted by a source in a specific direction per unit solid angle. It’s fundamental for calibrating camera exposure and display brightness in imaging systems.",Setting a camera’s exposure parameters based on an LED light source rated at 800 cd to achieve correct scene illumination.
Canny,"Often shorthand for the Canny edge detection algorithm, this term refers to a multi-stage process—Gaussian smoothing, gradient computation, non-maximum suppression, and hysteresis thresholding—that yields robust, well-localized edges with minimal spurious responses.","Using OpenCV’s Canny(src, dst, 50, 150) to extract crisp edges from a grayscale photograph."
Canny edge detector,"A benchmark edge-detection algorithm that first smooths an image with a Gaussian filter, computes gradient magnitudes and directions, applies non-maximum suppression to thin edges, then uses dual thresholds with connectivity analysis to finalize edge pixels.","Detecting road lane markings in dash-cam footage by applying Canny with σ=1.4, low threshold=100, high threshold=200."
CAT scan,"Computed tomography (CT) scans acquire multiple X-ray projections around a subject and reconstruct cross-sectional images, providing volumetric data for medical image analysis, segmentation, and 3D visualization.",Segmenting a CT scan of the chest to isolate lungs from surrounding tissue using thresholding and region growing.
CCD arrays,"Charge-coupled device arrays are light-sensitive sensors that accumulate and transfer charge across pixel elements, offering high sensitivity and low noise, especially in low-light applications like astronomy and fluorescence microscopy.",Capturing long-exposure astrophotographs with a cooled CCD camera to minimize thermal noise and reveal faint stars.
"CDF, cumulative distribution function",The CDF of an image histogram gives the cumulative probability that a pixel’s intensity is less than or equal to a given value. It underpins histogram equalization by mapping input intensities to output levels for contrast adjustment.,Building the CDF from a grayscale image to compute equalized output levels.
ciliary muscles,"In the human eye, ciliary muscles adjust the lens curvature to focus on objects at varying distances; understanding their behavior informs autofocus algorithms and blur modeling in camera systems.",Simulating defocus blur in a camera model by varying lens focal length analogously to ciliary muscle action.
class labels,"Discrete identifiers assigned to images or regions during supervised learning that denote the category or object present; they guide model training, evaluation, and performance metrics.","Labeling images in a dataset as “cat,” “dog,” or “bird” to train a convolutional neural network for classification."
class targets,"Ground-truth outputs used in training classification models, often encoded as one-hot vectors or integer indices corresponding to class labels; they drive loss calculation and backpropagation.","Encoding the label “car” as the one-hot vector [0,1,0,…,0] when computing cross-entropy loss in a neural network."
clustering,"An unsupervised technique that groups data points (pixels, feature vectors) into clusters based on similarity metrics, enabling tasks like color quantization and image segmentation without pre-labeled data.",Applying K-means clustering to the RGB values of an image to reduce it to its eight dominant colors for stylization
CMOS arrays,"Complementary metal-oxide-semiconductor (CMOS) arrays are solid-state image sensors in which each pixel has its own charge-to-voltage conversion and read-out circuitry. They offer lower power consumption and higher frame rates than CCDs, at the cost of slightly more fixed-pattern noise.",A smartphone camera module using a 48 MP CMOS sensor to shoot 4K video at 60 fps.
CMY,"CMY stands for cyan, magenta, and yellow, the subtractive primary colors used in printing and color reproduction. Mixing these inks on white paper subtracts red, green, and blue light, respectively, to form a full-color image.",Converting a digital RGB photograph to CMY separations for previewing magazine printing plates.
CMY color space,"The CMY color space represents colors by their cyan, magenta, and yellow components, each varying from 0 to 100 %. It’s a direct complement to RGB, used in prepress and commercial printing workflows.",Software converting sRGB images to CMY values so that a proof sheet matches printed output.
CMYK,CMYK adds a key (black) channel to the CMY model to improve depth and reduce ink usage. The black ink enhances shadows and detail without relying solely on combinations of three colored inks.,Feeding an RGB image into a print driver that outputs four separate CMYK plates for an offset press.
CMYK color space,"The CMYK color space specifies color as percentages of cyan, magenta, yellow, and black, facilitating precise ink-laydown control. It’s essential for color calibration in the printing industry.",Adjusting the black channel in Adobe Photoshop’s CMYK preview to prevent muddy shadows in a magazine ad.
CNNs,"Convolutional Neural Networks (CNNs) are deep learning architectures that use convolutional layers to automatically learn spatial hierarchies of features. They excel at vision tasks like classification, detection, and segmentation by sharing weights and reducing parameters.",Training a CNN in TensorFlow to classify images of dogs and cats with over 90 % accuracy.
COCO,"COCO (Common Objects in Context) is a large-scale dataset for object detection, segmentation, and captioning, containing over 330 K images with 80 object categories. It emphasizes complex everyday scenes with multiple, overlapping objects.",Fine-tuning a Mask R-CNN model on the COCO dataset to segment people and vehicles in street photographs.
color adjustment,"Color adjustment encompasses operations that modify hue, saturation, brightness, or contrast to correct or stylize an image. Techniques include white-balance correction, gamma adjustment, and channel mixing.",Increasing saturation by 20 % and shifting hue by +10° in Lightroom to make a sunset photo more vibrant.
color image processing,"Color image processing refers to algorithms that operate on multi-channel data, handling color conversions, enhancement, and analysis. It often involves transforming between color spaces (e.g., RGB→HSV) to simplify tasks like segmentation or white balance.",Converting an RGB satellite image to the Lab color space and equalizing its L channel to enhance land-water contrast.
color model,"A color model is a mathematical framework for representing colors as tuples of values—common examples are RGB, HSV, Lab, and CMYK. Each model has a specific geometry and use case, such as device display or human perception emulation.",Converting images to HSV to isolate hue values when detecting green vegetation in aerial surveys.
color shade,"A color shade is produced by adding black to a pure hue, resulting in darker variations while preserving the original hue’s character. Shades are used to create depth and contrast in imagery and design.",Generating darker navy shades by blending black into a base blue swatch for UI elements.
color space,"A color space defines a specific gamut and coordinate system (e.g., sRGB, Adobe RGB, ProPhoto RGB) for representing colors digitally or physically. It dictates how numerical triplets map to actual colors.",Saving an image in the Adobe RGB color space to preserve a wider gamut for professional printing.
color tint,"A color tint is produced by adding white to a pure hue, yielding lighter, pastel variations. In digital editing, tinting can also refer to applying a uniform hue overlay with adjustable opacity.","Applying a 20 % blue tint layer over a portrait to evoke a cool, moody atmosphere."
color tone,"Color tone describes the overall warmth or coolness of an image, influenced by hue and intensity distributions. Tone adjustments shift color balance to create mood or correct lighting imbalances.",Shifting midtones toward orange in Photoshop’s Color Balance tool to add a warm “golden hour” look.
component image,"A component image is one channel extracted from a multi-channel image, such as the R, G, or B plane of an RGB image, or the L, a, and b planes of Lab. It isolates specific information for targeted processing.",Extracting the V (value) channel from an HSV image to perform brightness-based thresholding.
compositing,"Compositing is the process of combining multiple images or layers into a single, cohesive frame using blending modes, masks, and alpha channels. It’s fundamental in VFX, photography, and UI design.",Overlaying a PNG of a rendered 3D car onto a background photo with alpha blending and shadow insertion.
Computer Vision,"Computer Vision is the scientific field focused on enabling machines to interpret and analyze visual data, extracting information such as shapes, motions, and semantics. It spans image processing, pattern recognition, and high-level reasoning.",Deploying a face-recognition system at airport security gates to authenticate passengers.
Computer Vision Toolbox,"Computer Vision Toolbox is a MATLAB add-on providing algorithms and tools for designing and testing vision systems, including feature detection, camera calibration, and 3D reconstruction.",Using the detectMSERFeatures function from Computer Vision Toolbox to segment text regions in scanned documents.
cones,"Cones are photoreceptor cells in the retina that respond to different wavelengths of light (short-, medium-, and long-wave), enabling color vision and high-acuity central vision under bright conditions.",Modeling the human LMS cone responses to simulate perceptual color shifts under different illuminants.
continuous,"In imaging, continuous refers to signals or intensity values that vary smoothly over space or time, such as analog photographs or continuous-tone images with infinite resolution.",Analyzing an analog film scan that preserves a continuous tonal range before quantization.
contrast,"Contrast is the difference in luminance or color that makes objects distinguishable; it can be measured globally (max–min range) or locally (e.g., local standard deviation). High contrast improves feature visibility.",Applying local contrast enhancement (CLAHE) to boost detail in foggy landscape photos.
contrast stretching,"Contrast stretching linearly expands the intensity range of an image to span the full available dynamic range. This scaling makes dark zones darker and bright zones brighter, improving visual separation of features.","Stretching intensities in [50,200] to fill [0,255], boosting mid-tone contrast."
convolution,"Convolution computes a weighted sum of pixel values in a sliding window defined by a kernel, producing filters such as blur, sharpen, or edge detection. It is the fundamental linear operation in spatial-domain image processing.",Applying a Sobel kernel via convolution to detect horizontal edges.
Convolutional Neural Network (CNN),"A Convolutional Neural Network (CNN) is a deep learning model that uses convolutional kernels to learn spatial feature hierarchies. Layers include convolutions, activations, pooling, and fully connected stages for tasks like classification or detection.",Implementing a CNN in Keras with three convolutional blocks for handwritten digit recognition.
correlation,"Correlation measures the similarity between an image region and a template by sliding the template over the image and computing dot products. Unlike convolution, it does not flip the kernel, and is often used for pattern and feature matching.",Matching a known symbol template to locate appearances within a scene.
CT scan,"A CT (computed tomography) scan captures cross-sectional X-ray images around a subject and reconstructs 3D volumes, widely used in medical diagnostics for bones, organs, and vascular structures.",Using a CT scan to generate a 3D volumetric model of a patient’s skull for surgical planning.
CUDA,"CUDA is NVIDIA’s parallel computing platform and API for harnessing GPU acceleration in general-purpose computing, notably speeding up large matrix operations in image and signal processing.",Running a custom CUDA kernel to accelerate convolutional filtering on 4K video frames in real time.
CV,"CV commonly abbreviates Computer Vision, the field that develops methods for machines to “see.” It also refers to libraries like OpenCV that provide vision and image-processing functions.",Using OpenCV (cv2 in Python) to detect faces in a webcam stream.
DC component,"The DC component of an image is its zero-frequency term in the Fourier domain, equal to the image’s average intensity. It appears as the central value in a shifted frequency spectrum.",Reading the center value of a 2D FFT (after shift) to measure overall brightness.
deblurring,"Deblurring aims to reverse blur artifacts caused by motion, defocus, or atmospheric turbulence by estimating and removing the underlying point-spread function. Techniques include Wiener filtering, blind deconvolution, and regularized inversion.",Applying non-blind Wiener deconvolution with a known Gaussian blur kernel to restore a shaky photograph.
decision trees,"Decision trees are hierarchical, tree-structured classifiers that split data based on feature thresholds, producing interpretable if-then rules. They’re used for pixel classification and coarse scene segmentation.","Using a decision tree to classify each pixel in a thermal image as “hot,” “warm,” or “cold.”"
deep learning,"Deep learning is a subfield of machine learning that trains multi-layer neural networks to automatically learn hierarchical feature representations from data. It powers state-of-the-art methods in vision, speech, and language.",Training a U-Net architecture for medical image segmentation from scratch using volumetric CT data.
deep learning pipeline,"A deep learning pipeline encompasses stages from data collection and annotation through preprocessing, model training, validation, and deployment. It ensures reproducibility and scalability of DL projects in production.","Building a pipeline that augments images, trains a Mask R-CNN on AWS GPU instances, and exports the model for edge use."
deep learning-based techniques,"Deep learning–based techniques refer to vision algorithms that rely on neural network architectures—CNNs, RNNs, Transformers—to learn features end-to-end, replacing handcrafted methods.",Using a YOLOv5 network for real-time object detection in video surveillance.
deep neural network,"A deep neural network is any neural model with multiple hidden layers enabling complex, non-linear feature extraction. Depth increases representational capacity but demands careful regularization and data.",Fine-tuning a 152-layer ResNet model pretrained on ImageNet for fine-grained flower species classification.
denoising,"Denoising removes unwanted noise from images while preserving edges and details. Approaches include spatial filters (median, bilateral), transform-domain methods (wavelet shrinkage), and DL models (DnCNN, Noise2Void).",Applying a pretrained DnCNN model to suppress Gaussian noise in low-light smartphone photos.
DenseNet,"DenseNet is a CNN architecture where each layer connects to every other layer in a feed-forward fashion, improving gradient flow and parameter efficiency. It has shown strong performance on classification and segmentation benchmarks.",Training a DenseNet-121 model in PyTorch to classify chest X-rays into normal and pathological categories.
DenseNet-201,"DenseNet-201 is a DenseNet variant with 201 layers, offering deeper feature extraction and often higher accuracy at the cost of increased training time and memory.",Benchmarking DenseNet-201 vs. DenseNet-121 on the CIFAR-100 dataset to compare accuracy and inference speed.
"DFT, discrete Fourier transform","The DFT decomposes a discrete image into a sum of sinusoids at discrete spatial frequencies, revealing periodic patterns and enabling frequency-domain filtering. It converts an M×N image into an M×N complex spectrum.",Computing fft2 of an image in MATLAB to inspect its texture frequencies.
digital image,"A digital image is a discrete two-dimensional array of pixel values, each representing a sampled intensity or color. It results from quantizing an analog scene or synthetic generation.","A 1024×768 JPG photo on your computer, where each pixel stores three 8-bit color components."
Digital Image Processing,"Digital Image Processing (DIP) encompasses algorithms and techniques for enhancing, analyzing, and transforming digital images, spanning point operations, spatial filtering, frequency analysis, and machine vision.",Using DIP methods like histogram equalization and edge detection to preprocess inputs for an OCR system.
DIP,"DIP is the common abbreviation for Digital Image Processing, the field that studies processing digital pictures by computer.",Enrolling in a university course titled “DIP: Digital Image Processing” covering Fourier transforms and filters.
discrete,"Discrete refers to values or signals defined only at separate, distinct points—e.g., pixels in an image or samples in time—rather than continuously.",Representing a photograph as a 512×512 grid of discrete intensity samples rather than a continuous function.
discrete quantity levels,Discrete quantity levels are the finite set of numeric values that a signal sample—such as a pixel—can assume after quantization. The number of levels is 2^bitDepth.,An 8-bit sensor produces 256 discrete grey levels (0–255) for each pixel.
discrete time intervals,"Discrete time intervals denote uniform sampling instants in time for temporally varying signals, such as video frames or line scans.","Capturing a high-speed event at 1,000 frames per second, each frame representing a uniform discrete time step."
DMSP instruments,"Defense Meteorological Satellite Program (DMSP) instruments, such as the Operational Linescan System (OLS), capture low-light images of Earth’s surface at night for meteorology and intelligence.",Analyzing DMSP-OLS night-light data to estimate urban population distribution.
DPI,"DPI (dots per inch) measures spatial printing or scanning resolution, defining how many individual dots or samples fit into one inch. Higher DPI yields finer detail at the cost of larger file sizes or slower scanning.",Setting a scanner to 600 DPI to digitize a printed photograph with high fidelity.
driverless cars,"Vehicles that autonomously perceive their environment, plan routes, and control motion using sensors (cameras, LiDAR, radar) and AI algorithms. They continuously fuse data to detect lanes, obstacles, and traffic signs without human intervention.",A Waymo car using deep learning and sensor fusion to navigate urban streets and avoid pedestrians.
drizzling technique,"A reconstruction method in astronomy that combines multiple undersampled, dithered images by remapping each exposure onto a finer output grid. It preserves spatial resolution and improves signal-to-noise by weighting and interlacing pixel data.",The Hubble Space Telescope applies drizzling to multiple dithered frames to create high-resolution deep-field images.
DSLR,"A digital single-lens reflex camera employs a mirror and prism system to deliver an optical viewfinder image and interchangeable lenses, capturing high-resolution data on a CMOS or CCD sensor. It offers full manual control over exposure, focus, and depth of field.",Shooting RAW landscapes with a Canon EOS 5D Mark IV DSLR and a 24–70 mm lens at f/8 for optimal sharpness.
DSP boards,"Hardware modules containing specialized Digital Signal Processors designed to execute filtering, Fourier transforms, and real-time image-processing pipelines at high throughput. They offload compute-intensive tasks from general-purpose CPUs.",Using a TI TMS320C6678 DSP board to perform real-time convolutional filtering in an industrial vision inspection system.
dynamic range,Dynamic range is the ratio between the highest and lowest measurable pixel intensities. A higher dynamic range allows representation of both very dark and very bright details.,A 12-bit sensor capturing values from 0 to 4095 yields a dynamic range of 4096:1.
dynamic range extension,Techniques that capture or display both very dark and bright scene regions by merging multiple exposures or adapting tone mapping. They prevent saturation in highlights and reveal detail across extreme contrast.,Creating an HDR image by merging bracketed exposures of a sunset to preserve detail in both the sky and shadowed foreground.
edge strength,"Edge strength quantifies the magnitude of intensity change at a pixel, commonly computed via gradient operators. Strong edges correspond to high gradient magnitudes and mark object boundaries.","Calculating the magnitude of the Sobel gradients Gx, Gy to highlight strong edges."
EfficientNet,"A family of CNNs that use a compound scaling method to uniformly scale network depth, width, and resolution, achieving state-of-the-art accuracy with fewer parameters. They balance model size and performance systematically.",Fine-tuning EfficientNet-B0 on a plant-disease dataset to deploy a lightweight classifier on a mobile app.
electro-microscopic image,"An image produced by an electron microscope (SEM or TEM) where a focused electron beam scans or transmits through a specimen, revealing ultrastructural details at nanometer scale. Intensities correspond to electron scattering or transmission.",Imaging a virus using transmission electron microscopy at 100 000× magnification to study capsid structure.
electromagnetic spectrum,"The full range of electromagnetic radiation wavelengths, from gamma rays to radio waves. Different imaging modalities (X-ray, infrared, ultraviolet) exploit specific bands for applications like medical diagnostics and remote sensing.",Using near-infrared (700–900 nm) aerial imagery to assess vegetation health in agriculture.
EmguCV,"A .NET wrapper for OpenCV that lets C# and VB.NET applications call OpenCV functions for image acquisition, processing, and vision tasks without unmanaged code.",Building a C# WinForms app with EmguCV to detect and draw rectangles around faces from a webcam stream.
EPS file type,"Encapsulated PostScript is a vector graphics format containing PostScript code and optional embedded bitmaps, ideal for resolution-independent printing and scaling.",Exporting a company logo as an EPS file to ensure crisp print output at any size in Adobe Illustrator.
eye tracking,"The measurement of gaze direction and fixation points using cameras and infrared illumination. It analyzes pupil and corneal reflections to infer where a user is looking on a display or in a scene, enabling studies of attention and interaction.",Running a usability test where participants’ gaze heatmaps on a website are recorded to optimize page layout.
face recognition,"The process of identifying or verifying individuals by matching detected facial features against a database of known faces. It involves detection, alignment, feature representation, and classification stages.",Unlocking a smartphone with its built-in face recognition system that matches a live scan to stored templates.
face recognition hard features,"Hand-crafted, interpretable facial attributes such as distances between eyes, nose-mouth ratios, and shape metrics, used in classical recognition pipelines. They contrast with deep-learned embeddings.",Calculating inter-pupillary distance and mouth-chin distance as input features for an early eigenfaces classifier.
FAST,"A corner detection algorithm (“Features from Accelerated Segment Test”) that examines circular pixel segments around a candidate point for intensity contrasts, yielding very fast interest point detection suitable for real-time systems.",Detecting FAST keypoints at 500 fps on live video in an augmented reality application to anchor virtual objects.
Faster R-CNN,A two-stage object detector that first proposes regions via a Region Proposal Network (RPN) and then classifies and refines bounding boxes using a CNN. It improved speed and accuracy over earlier R-CNN models.,"Training Faster R-CNN on COCO to detect and localize pedestrians, cars, and bicycles in street scenes."
feature detection,"Algorithms that locate distinctive structures—corners, edges, blobs—in images to serve as anchors for matching, tracking, and recognition. Popular detectors include Harris, FAST, and SIFT.",Using the Harris corner detector to find keypoints for stitching two overlapping photos into a panorama.
feature engineering,"The manual design and creation of informative descriptors from raw data to improve classical model performance. In vision, it spans color histograms, texture measures, and shape attributes before classifier training.",Computing Haralick texture features from image patches to classify types of wood surfaces.
feature extraction,"The process of transforming raw image data into numerical descriptors (keypoint vectors, histograms, CNN embeddings) that compactly capture salient information for tasks like classification and retrieval.",Extracting 256-dimensional SIFT descriptors around detected keypoints as input to a bag-of-visual-words model.
feature extractor,"A module (hand-crafted or learned) that processes images to produce feature vectors representing texture, shape, or semantic embeddings. Examples include HOG, SIFT, and CNN backbones.",Using the convolutional base of ResNet-50 as a pretrained feature extractor in a transfer learning pipeline.
feature matching,"Pairing feature descriptors between two images by comparing distance metrics (Euclidean, Hamming) to establish correspondences. It is essential for panorama stitching, 3D reconstruction, and tracking.",Matching ORB descriptors from two drone images to compute the homography for orthomosaic creation.
feature vectors,"Numeric arrays encoding properties of image regions or entire images, serving as inputs to classifiers, clustering, or retrieval systems. Their dimensionality depends on the descriptor method used.",A 128-dimensional SIFT descriptor vector representing gradient orientations around a keypoint.
features,"Distinctive image characteristics—edges, corners, blobs, textures—that algorithms detect and represent to distinguish objects and patterns. Robust features resist scale, rotation, and illuminance changes.",Extracting SIFT keypoints that remain stable under viewpoint and lighting variations for object recognition.
feed-forward NN,A neural network architecture where information flows in one direction from input through hidden layers to output without loops or feedback. Each layer applies linear weights and nonlinear activations to learn hierarchical mappings.,A three-layer feed-forward network mapping 28×28 pixel inputs to 10 softmax outputs for digit classification.
filter transfer function,"The filter transfer function H(u, v) describes how each frequency component in the Fourier domain is modified by a filter. Its magnitude and phase responses determine the filter’s smoothing, sharpening, or distortion characteristics.","Plotting H(u,v) of a Gaussian LPF with σ=10 to visualize its smooth attenuation."
fovea,"The small, central region of the human retina with high cone density responsible for sharp central vision and color discrimination. Foveated imaging models mimic this by allocating more resolution near the gaze point for efficiency.",Implementing foveated rendering that increases pixel density around a user’s gaze position tracked by an eye-tracker.
FPGAs,"Field-Programmable Gate Arrays are reconfigurable hardware platforms that implement custom parallel logic for algorithms like real-time filters and neural network inference, offering low latency and power efficiency.",Deploying a CNN inference engine on a Xilinx FPGA board to accelerate object detection at the network edge.
frequency domain,"In the frequency domain, an image is represented by its sinusoidal frequency components rather than spatial intensities. This view makes it easy to design and apply filters based on frequency content.",Displaying log-magnitude of the FFT of a photo to reveal periodic interference.
frequency filtering,"Frequency filtering applies a mask or transfer function to the DFT of an image to selectively attenuate or amplify frequency bands. After filtering, the inverse DFT returns the processed image to the spatial domain.",Using a notch filter to remove a 60 Hz periodic noise pattern in the spectrum.
frequency rectangle,A frequency rectangle (ideal bandpass) selects a rectangular region of frequencies in the spectrum while zeroing out others. It creates sharp cutoffs but can introduce ringing artifacts in the spatial domain.,Applying an ideal bandpass mask passing frequencies between 20–50 cycles/image width.
fully-connected layer,"A neural network layer where each input neuron connects to every output neuron via learnable weights, enabling global feature integration. They commonly appear at the end of CNNs for classification tasks.",Adding a 512-unit fully connected layer after convolution blocks in a deep classifier to produce softmax scores.
Gabor filters,"Linear filters defined by sinusoidal plane waves modulated by Gaussian envelopes, tuned to specific frequencies and orientations. They model visual cortex receptive fields and capture texture and edge patterns.",Convolving an image with a bank of Gabor filters at multiple orientations to extract texture features for fingerprint analysis.
gamma correction,"A non-linear power-law transform applied to pixel intensities to account for display or camera gamma characteristics, ensuring perceived brightness matches stored values. It compensates for the eye’s nonlinear luminance response.",Applying s = 255·(r/255)^0.45 to linear image data before displaying on an sRGB monitor to correct brightness.
gamma-ray band,"The portion of the electromagnetic spectrum with photon energies above ~100 keV, used in specialized imaging (gamma-ray cameras) and astrophysical observations. Detection requires scintillators or semiconductor sensors.",Capturing gamma-ray images of radioactive tracer distribution in a SPECT medical scanner for diagnostic imaging.
Gaussian blur,"A smoothing operation that convolves an image with a two-dimensional Gaussian kernel, attenuating high-frequency details while preserving overall structure. The kernel’s standard deviation controls blur strength.","Using OpenCV’s GaussianBlur(img, (5,5), sigmaX=1) to reduce noise before applying edge-detection."
Gaussian lowpass filter,"This filter uses a Gaussian-shaped transfer function in frequency domain to smoothly attenuate high frequencies. It yields a blur with no ringing, controlled by the Gaussian standard deviation.",Designing a Gaussian LPF with σ=5 pixels and applying via ifft2(H.*F).
gaussian noise,"Gaussian noise adds random values drawn from a normal distribution to each pixel, modeling sensor or electronic noise. It is spread evenly across frequencies and is commonly used to test filter performance.",Adding noise with mean=0 and σ=10 to a clean image to benchmark a denoising filter.
gesture recognition,"The interpretation of human movements—hand poses, body gestures—from video or sensor data to control interfaces or trigger commands. It combines detection, tracking, and classification of spatio-temporal patterns.",Employing a depth sensor to recognize swipe gestures for slide navigation in a conference presentation.
