FPNet,ablation analysis,"Experimental methodology where one removes or alters specific modules (e.g., frequency-perception module) to quantify their individual contribution to overall performance.",Comparing FPNet’s performance with and without octave convolutions.,
FPNet,ablation study,A set of experiments where specific modules or settings are removed to assess their individual contributions. The paper likely performs ablation to justify the frequency-perception module and fusion strategies.,Disabling octave convolution to measure the drop in camo-frog detection accuracy.,
PVT,absolute positional bias,"Learnable scalar offsets added to raw attention scores based on token positions, enhancing the model’s ability to distinguish spatial relationships. Bias values help differentiate positions more flexibly than fixed embeddings.",PVT can add an absolute positional bias matrix to the QK^T scores before softmax to improve positional sensitivity.,
PVT,absolute positional bias,"A trainable scalar added to each query–key dot-product based on absolute token positions, distinguishing locations during attention.","In some PVT variants, an absolute bias matrix of shape (N×N) is added to the QKᵀ scores before softmax to encode fixed grid positions.",
PVT,absolute positional embedding,A grid of trainable vectors added element-wise to token embeddings to encode each patch’s spatial location. This compensates for the loss of position information after patch partitioning.,"PVT learns a 56×56×64 tensor of positional embeddings for Stage 1 and adds it to all 3,136 patch tokens before feeding them into the first Transformer encoder.",
RFB,activation function,"A non-linear transform (e.g. ReLU, Sigmoid) applied after conv to introduce non-linearity.","RFB uses ReLU, computing max(0,x) on each activation.",
RFB,activation map,The output feature map after applying a non-linear activation (e.g. ReLU).,ReLU maps negative conv outputs to zero before passing to next layer.,
SINet,activation map,A spatial map of neuron activations indicating the presence and strength of learned features at each location. Activation maps can be visualized as heatmaps to interpret where a network focuses.,"The search stage produces an activation map that highlights regions with potential camouflaged objects, guiding the identification stage to focus on those areas.",
SINet,Adam,An adaptive moment estimation optimizer that computes individual learning rates for each parameter using running averages of gradients and squared gradients. It often converges faster than vanilla SGD.,"With Adam’s adaptive updates, SINet quickly adjusts weights in the RF module to capture subtle texture patterns of camouflaged fish.",
FPNet,Adam optimizer,"An adaptive gradient method combining momentum and per-parameter learning rates based on first and second moments of gradients. Adam converges quickly in practice and handles sparse gradients well, making it a popular default for deep learning.","Training FPNet with Adam and default β₁=0.9, β₂=0.999 settings for fast convergence.",
SINet,alpha-matting annotation,"Fine-grained labeling that captures soft boundaries between foreground and background via per-pixel alpha values in [0,1], used for tasks like compositing and image editing.","COD10K includes alpha-matting masks requiring ~60 minutes per image, enabling SINet to be evaluated on soft-boundary accuracy.",
FPNet,anchor box,Predefined bounding boxes of various sizes and aspect ratios tiled across the image for proposal generation.,"Using anchors of sizes {32, 64, 128} px at ratios {1:1, 1:2, 2:1} to cover small to large camo-objects.",
RFB,anchor matching,"Synonym for default-box matching, referring to the IoU-based pairing of pre-defined anchor boxes to ground-truth boxes.","In SSD, anchor matching each iteration yields about 200 positive anchors out of 8732 total anchors per image.",
PVT,anchors-free detection,"Object detectors that don’t rely on pre-defined anchor boxes; instead, they predict object centers, offsets, or keypoints directly.","FCOS could be combined with PVT by predicting center heatmaps and regressions on PVT’s 28×28 feature map, eliminating anchors.",
PVT,AP50,Average Precision at IoU = 0.50; a simpler detection metric focusing on coarse localization.,"PVT-Small+RetinaNet scores 61.2 AP50, showing strong detection performance at a loose IoU criterion.",
PVT,AP75,AP at IoU = 0.75; emphasizes more precise bounding-box localization.,PVT-Small+RetinaNet’s AP75 of 43.7 highlights its ability to localize objects tightly.,
SINet,Apex,"NVIDIA’s library for mixed precision and distributed training in PyTorch, enabling automated loss scaling and FP16 support.","SINet’s training script imports apex’s amp to wrap the optimizer, achieving a 1.8× speed-up on COD10K segmentation.",
SINet,apex-mode O1,"A training mode in Apex that uses FP16 arithmetic for most operations and FP32 for dynamic loss scaling, balancing speed and numerical stability.",Training SINet under opt_level='O1' reduces memory per image from ~419 MB to ~305 MB on an RTX TITAN while preserving convergence behavior.,
SINet,apex-mode O2,"A more aggressive Apex mode that applies FP16 throughout except for batch‐norm and embedding layers, offering further speedup at potential precision trade-offs.","Switching to opt_level='O2' yields a ∼2× throughput boost when training SINet on large‐scale COD10K batches, at the cost of careful tuning.",
FPNet,aspect ratio,"The width-to-height ratio of an anchor or detection box, important for matching object shapes.",Defining an anchor with aspect ratio 2:1 to capture elongated camouflaged snakes.,
RFB,aspect ratio,"The width-to-height ratio of default boxes or bounding boxes; common values include {1:1, 2:1, 1:2, 3:1, 1:3}.","SSD300 uses aspect ratios 1:1, 2:1, 1:2 on conv4_3 map corresponding to small objects.",
RFB,Atrous convolution,"Another name for dilated convolution, where “holes” (zeros) are inserted between kernel weights to grow RF.","The RFB middle branch applies a 3×3 atrous conv with rate=3, sampling every 3rd neighbor.",
FPNet,Atrous spatial pyramid pooling (ASPP),"A context aggregation module employing parallel dilated convolutions at multiple rates. ASPP captures multi-scale context without reducing feature map resolution, aiding scenarios with varying object scales.","Using ASPP with dilation rates {1, 6, 12, 18} to gather context for camouflaged bird detection.",
RFB,Atrous spatial pyramid pooling (ASPP),A module applying multiple parallel atrous convolutions at different rates to capture multi-scale context in segmentation.,"ASPP might run 1×1, 3×3 (rate=6), 3×3 (rate=12), 3×3 (rate=18) in parallel.",
PVT,attention head,"One of the parallel subspaces in MHSA, each with its own projection matrices for queries, keys, and values, enabling focus on different features.","In an 8-head attention block, the 768-dim embedding splits into eight 96-dim heads, each computing separate attention weights.",
PVT,attention head splitting,Dividing the embedding dimension into multiple equal-sized “heads” so that each head performs its own attention computation. This allows the model to capture diverse relational patterns in parallel.,A 256-dim token in PVT-Base is split into 4 heads of 64 dims each for multi-head self-attention.,
FPNet,attention map,"A feature weighting map generated by attention mechanisms. In visual transformers or attention modules, these maps highlight relevant spatial regions or channels, guiding the model to focus on informative cues.",Visualizing self-attention weights that highlight a hidden frog on a leaf.,
SAM,attention map generation,The procedure by which channel and spatial attention maps are computed from feature maps.,"Generating Mc and Ms via pooled descriptors, MLP, and convolution.",
SAM,attention mechanism,"A computational strategy that adaptively weights feature responses to focus on informative parts of the data while suppressing uninformative ones. In CBAM, it consists of channel and spatial sub-modules. Attention mimics human visual focus to boost model performance and interpretability.",Self-attention in transformers weighs word embeddings; CBAM’s attention weighs feature map channels and pixels.,
PVT,attention score matrix,The matrix of raw similarities (before softmax) between every query and key vector pair. Its size is (N_queries × N_keys) and dictates how value vectors are aggregated.,"For Stage 2’s 28×28 grid, PVT forms a 784×784 score matrix per head prior to applying softmax.",
SINet,attribute label,"Flags assigned to each image/object indicating challenges like occlusion, small size, or out-of-view, used for subset evaluation.",An image of a partially hidden lizard behind leaves is tagged with the “Occlusion” attribute.,
RFB,average pooling,"Computing the average activation within each pooling window, smoothing responses.",Global average pooling on a 7×7 map yields one value per channel.,
FPNet,average pooling,"A downsampling operation that computes the average value within each window. Compared to max-pooling, it preserves more context but can blur sharp edges and reduce contrast in boundary regions.",Reducing feature map size by averaging each 3×3 neighborhood in a satellite image.,
Octave Convolution,backbone architecture,"The core CNN design (e.g., ResNet, DenseNet) onto which specialized layers or blocks (like OctConv) are plugged.",Integrating OctConv into a ResNet-50 backbone by replacing all 3×3 convolutions in each residual block.,
SINet,backbone network,"A pretrained convolutional neural network (e.g. ResNet-50) used to extract multi-scale feature maps (commonly denoted C3, C4, C5). These hierarchical features encode image patterns from low-level edges up to high-level semantic cues.","SINet uses ResNet-50 as its backbone, taking the output of its third, fourth, and fifth residual blocks (C3/C4/C5) to feed into the RF module and Search/Identification branches.",
SINet,background,The complement of the foreground: pixels not part of the object(s) of interest. Properly modeling background helps the network suppress false positives when objects blend into surroundings.,SINet learns to assign low confidence (pi≈0) to background textures such as bark or foliage that visually mimic the target object.,
RFB,backpropagation,The algorithm for computing gradients of the loss w.r.t. parameters via reverse-mode automatic differentiation.,Gradients from multi-task loss flow back through all RFB branches.,
SINet,backpropagation,"The gradient-based method for computing derivatives of the loss w.r.t. each model parameter, enabling end-to-end learning.","After each batch’s forward pass, SINet backpropagates L_total to update RF, SA, and PDC parameters via the Adam optimizer.",
RFB,base network (backbone),The core feature extractor (e.g. VGG16) providing intermediate feature maps to subsequent detection modules.,RFB Net uses VGG16 up to conv7 as its backbone.,
FPNet,batch normalization,"A layer that normalizes activations within each mini-batch to zero mean and unit variance, then scales and shifts with learnable parameters. It accelerates convergence, stabilizes training, and provides mild regularization against overfitting.",Normalizing feature maps after each convolution in a ResNet backbone during training.,
RFB,batch normalization,"Normalizing activations per mini-batch to zero mean, unit variance, accelerating training.",Adding BatchNorm after each conv reduces internal covariate shift.,
SINet,batch normalization,"A normalization layer that standardizes mini‐batch activations by subtracting the batch mean and dividing by the batch standard deviation, followed by learned affine scaling and shifting. This stabilizes training, allows higher learning rates, and acts as a regularizer.","Every convolution in SINet’s backbone and RF module is followed by batch normalization, ensuring stable gradient propagation and faster convergence during training on COD10K.",
FPNet,batch size,Number of samples processed per gradient update. Larger batches stabilize gradients but increase memory usage.,Training FPNet with a batch size of 8 on 512×512 images to fit within 11 GB of GPU memory.,
RFB,batch size,"The number of training samples processed in one forward/backward pass, affecting GPU memory and gradient noise.",SSD uses batch size = 32 across 4 GPUs (8 images each).,
SINet,batch size,The number of training samples processed before the model’s weights are updated once. Larger batches smooth gradient estimates but require more memory.,"SINet uses a batch size of 8 images on a 24 GB RTX TITAN, balancing GPU memory constraints with stable gradient updates.",
FPNet,benchmark dataset,"A publicly available dataset used to evaluate and compare model performance. In COD: COD10K, CHAMELEON, and CAMO are standard benchmarks.",Running FPNet on the COD10K test split to report MAE and F-measure scores.,
FPNet,benchmark protocol,"Standardized training/testing procedures on COD10K, CHAMELEON, and CAMO datasets, ensuring fair comparisons across methods.",Using the same train/test splits and data augmentation pipeline as prior COD studies.,
FPNet,benchmark protocol,"Prescribed procedure for training and evaluating on COD10K, CHAMELEON, and CAMO (train/test splits, pre-processing, metrics) to ensure fair comparisons across methods.",Following the COD10K paper’s train/test splits and metric computation exactly.,
FPNet,benchmark protocol,"Standardized procedure for training, testing, and reporting results on COD datasets. It ensures fair comparisons across methods by fixing splits and metrics.","Following COD10K’s official train/test split and reporting MAE, F-measure, and E-measure.",
SINet,big object (BO),"An attribute where the object-to-image area ratio exceeds 0.5, testing the model’s handling of dominant foregrounds.",A close-up of a large camouflaged leaf insect covering most of the frame receives the “BO” tag.,
FPNet,bilinear interpolation,A non-learnable upsampling technique that computes new pixel values via a weighted average of the four nearest neighbors. It preserves smooth gradients but cannot learn task-specific reconstruction patterns.,Upscaling a low-res prior mask to match the encoder feature size using bilinear interpolation.,
FPNet,bilinear interpolation,A non-learnable upsampling method that computes values by weighted averaging of four neighbors. It preserves smooth transitions but lacks task-specific adaptation.,Upscaling a 64×64 coarse mask to 128×128 in the decoder via bilinear interpolation.,
SINet,bilinear Interpolation,"A non‐learnable method that upsamples images or feature maps by computing output values via linear interpolation along both spatial dimensions, offering smooth resizing.","To enlarge the coarse search map, SINet uses bilinear interpolation, ensuring a smooth transition between pixel values when scaling from low to high resolution.",
SINet,binary cross-entropy (BCE) loss,A pixel-wise loss for binary classification that measures the distance between predicted probabilities and GT labels using the cross-entropy formula: –[y log(p)+(1–y) log(1–p)]. It’s the foundation of many segmentation objectives.,"Each identification output pixel (pi) is compared with its GT label (yi∈{0,1}) via BCE; misclassified camouflaged regions (yi=1 but pi<0.5) incur high penalty, pushing the network to correct its mask.",
FPNet,binary cross-entropy (BCE) loss,A loss function measuring the pixel-wise difference between predicted probabilities and binary ground-truth labels. It penalizes incorrect predictions and encourages the network to assign high confidence to true object pixels.,Calculating BCE between a predicted camo-snake mask and its annotated ground truth.,
SINet,bottleneck,"A network design pattern where the number of channels is reduced before expensive operations and then expanded back, reducing computational cost while retaining expressive power.","The MLP in SA uses a bottleneck: it first reduces the channel descriptor from 256 to 16 channels, applies a nonlinearity, then expands back—cutting down parameter count significantly.",
SAM,bottleneck attention module (BAM),"A concurrent work decomposing 3D attention into channel and spatial sub-modules, placed at ResNet bottlenecks.",BAM-ResNet-50 inserts BAM units inside each bottleneck block.,
Octave Convolution,bottleneck block,"A residual block variant that compresses channels via a 1×1 conv, processes them with a 3×3 conv, then expands back via another 1×1 conv.","In ResNet-50, each bottleneck block is [1×1 reduce] → [3×3 conv] → [1×1 expand] with a skip-connection around it.",
PVT,bottleneck dimension,"The intermediate size in an FFN’s hidden layer, typically smaller than or equal to the input/output embedding, controlling computation and introducing non-linearity.","With an embedding of 384 dims and MLP ratio 4, PVT uses a 1,536-dim bottleneck hidden layer.",
PVT,bottleneck hidden dimension,"The expanded size within an FFN sublayer, equal to (MLP ratio×embedding dim), controlling capacity.","With embedding = 320 and MLP ratio = 4 in Stage 3, the FFN hidden dimension is 1,280.",
FPNet,bottleneck layer,"A network block that reduces channel dimensions to a lower number before expanding again, improving efficiency.",Compressing a 512-channel feature into 128 channels in ResNet’s bottleneck block.,
RFB,bottom-up pathway,The standard forward pass that builds features from low-level to high-level through successive conv and pool layers.,VGG16’s conv→ReLU→pool blocks form a bottom-up pathway.,
FPNet,boundary F-score,A metric measuring alignment between predicted and ground-truth edges. It rewards precise boundary placement and penalizes deviations.,Computing the boundary F-score of 0.76 on CAMO to assess edge accuracy.,
FPNet,boundary loss,"A loss component that specifically penalizes discrepancies along object edges, sharpening boundary predictions by amplifying gradients near mask contours.",Adding a boundary loss term to tighten jagged edges around a camouflaged snail.,
FPNet,boundary refinement,"The process of tightening and correcting the edges of the detected mask. In FPNet, it is achieved by merging shallow high-resolution features with corrected deeper maps.",Applying a learnable boundary loss to refine the jagged outline of a segmented crab claw.,
SINet,bounding-box annotation,"Rectangular boxes drawn around each camouflaged object, providing coarse localization cues and facilitating comparisons with generic object detectors.",Each concealed crab on a rock receives a bounding box in COD10K for coarse localization benchmarking.,
RFB,box predictor,"The subnetwork that takes feature maps and outputs four localization offsets (Δx, Δy, Δw, Δh) for each default box, transforming anchors into predicted bounding boxes.","On conv9_2, a 3×3 convolution outputs 4 values per anchor for box regression.",
RFB,branch,"One distinct pathway in a multi-branch module, carrying out a specific kernel size and dilation before merging.",The RFB’s smallest-RF branch uses 1×1 conv followed by rate=1 atrous conv.,
FPNet,breakthrough points,"Subtle local deviations in texture or color where camouflaged object pixels “pop out,” guiding the coarse localization stage.",Spotting a single reflective scale that breaks the fish’s camouflage pattern.,
FPNet,breakthrough points,Local pixels where subtle spectral or textural differences “break through” camouflage. These serve as seeds for the coarse mask in the first FPNet stage.,Spotting a lone leaf vein that betrays a camouflaged insect on a bark surface.,
FPNet,breakthrough region,"Local image areas where subtle spectral or texture inconsistencies “break through” the camouflage, detected by the frequency-perception stage to seed the coarse mask.",Spotting a tiny texture deviation on bark that pinpoints a camouflaged insect.,
SAM,broadcast operation,Copying a lower-dimensional tensor along certain axes to match the shape of a higher-dimensional tensor for element-wise operations. CBAM broadcasts channel attention maps across spatial dimensions.,Broadcasting a 512×1×1 channel attention map to 512×7×7 by repeating values.,
SAM,broadcasting (multiplication broadcast),Expanding a smaller tensor along particular axes to align with a larger tensor for element-wise ops.,A 1×14×14 map is broadcast to 256×14×14 before multiplication.,
SAM,C (channels),The number of feature channels in a tensor. CBAM’s channel attention map length equals C.,A 64×56×56 map has C=64 channels.,
Octave Convolution,C2D,"A 2D CNN backbone applied frame-by-frame on video, often followed by temporal pooling or late fusion.",Applying ResNet-50 (C2D) independently to each frame of a video and averaging predictions over time.,
SINet,Calibrated MAE (CalMAE),"A post-processing calibration of MAE that compensates for global bias in predicted probabilities, e.g. by histogram equalization or optimal thresholding.",Applying the CalMAE routine reduces SINet’s raw MAE from 0.042 to 0.036 on a validation set of underexposed images.,
SINet,CalMAE,"A MATLAB tool that calibrates and computes MAE, often by finding an optimal shift or scale for pi before error calculation.","The call CalMAE(pred,gt) returns CalMAE=0.034, showing improved calibration on semi‐transparent jellyfish annotations.",
FPNet,CAMO,"The original camouflaged object dataset, containing images of camo patterns and hiding animals. Establishes baseline COD performance.",Comparing FPNet’s performance on ground-truth masks of camouflaged birds on tree bark.,
SINet,CAMO,"A 2,500-image COD dataset split into two 1,250-image subsets (CAMO and MS-COCO) covering eight categories. It provides object-level masks and bounding boxes, intended as a mid-sized benchmark for camouflaged segmentation.",Fine-tuning SINet on CAMO helps the network adapt to man-made camouflage patterns such as military gear against urban backdrops.,
FPNet,camouflage breakthrough point,"Subtle local cues (e.g., tiny texture or color deviations) that help a network break through the overall concealment. FPNet’s coarse stage seeks these “breakthrough” regions in the frequency domain.",Spotting a slight speckle on bark that pinpoints an insect’s location.,
FPNet,camouflaged object detection (COD),A computer-vision task aimed at locating and segmenting objects whose appearance closely matches their background. COD models often require specialized modules because standard saliency or segmentation methods fail when contrast between object and scene is low.,Detecting a snow hare blending into snowy terrain in wildlife photography.,
SINet,camouflaged object detection (COD),"A vision task focused on locating and segmenting objects that are deliberately blended into their backgrounds with minimal visual cues. Unlike generic detection, COD demands fine‐grained per-pixel classification to distinguish subtle object–background boundaries.",Detecting a stick insect whose body color and texture nearly match surrounding twigs and leaves.,
SAM,cardinality,"In ResNeXt, the number of parallel convolutional paths (“groups”). Higher cardinality can improve performance with controlled overhead.",ResNeXt-50 (32×4d) has 32 groups each with 4 filters.,
FPNet,CHAMELEON,"A smaller COD benchmark focusing on animals in natural settings, often used to test generalization of detection models.",Testing on chameleon images blending into green foliage.,
SINet,CHAMELEON,A small dataset of 76 images collected via keyword search (“camouflaged animal”) and manually annotated at the object level. It serves as an early benchmark for COD but lacks instance-level and matting annotations.,"Evaluating SINet’s baseline performance on CHAMELEON reveals its ability to segment large, well-defined camouflaged animals.",
FPNet,channel attention,A mechanism that computes per-channel weights—often via global pooling followed by an MLP—to re-weight feature map channels based on their global importance.,Using average pooling + FC layers to produce a 256-channel weight vector for frequency features.,
SAM,channel attention map,A 1×1×C tensor of values between 0 and 1 produced by the channel attention module to scale the original feature map’s channels. High values indicate more informative channels.,"A channel attention map [1.2, 0.8, ..., 0.05] boosts the first channel and suppresses the last.",
SAM,channel attention module,"The first sub-module of CBAM that generates a one-dimensional attention map across channels. It squeezes spatial dimensions via global average and max pooling, passes descriptors through a shared MLP with a reduction ratio, and applies a sigmoid gate to recalibrate channel importance.","For an input feature map of shape 512×7×7, the channel attention map is of shape 512×1×1 and highlights channels detecting edges.",
SAM,channel axis,The axis indexing feature channels in a tensor. CBAM’s channel attention operates along this axis.,"In F ∈ R^{512×7×7}, axis 0 (size 512) is the channel axis.",
SAM,channel descriptor,"The condensed vector of size C obtained from pooling spatial dimensions, used for channel-attention computation.",A 256-vector summarizing activations after conv3 in ResNet.,
SINet,channel descriptor,"A vector summarizing each channel’s global response across spatial dimensions, computed via pooling operations like GAP. Channel descriptors feed into attention modules to learn reweighting.","SA computes a 1×1×256 descriptor by applying GAP to the RF‐processed C5 tensor, capturing which channels matter most for camouflaged object detection.",
RFB,channel dimension,"The depth (number of filters) in a feature map tensor, each channel corresponding to one filter’s response.","After RFB concat, channel dimension grows from 512 to 1536.",
Octave Convolution,channel dimension,The first dimension of a 3-D feature map tensor that indexes distinct convolutional filters or feature types.,"In a 64-channel feature map of size 224×224, the channel dimension is 64.",
SINet,channel dimension,"The number of feature channels in a tensor, reflecting the network’s capacity to encode diverse patterns. More channels increase representational power but add parameters.","In SINet, C5 may have 2048 channels, carrying high‐level semantics into the RF module and SA for coarse object localization.",
SAM,channel dimension (C),"The number of feature channels in a feature map, each channel representing one filter’s responses. CBAM’s channel attention operates across this axis.",A feature map with C=512 channels indicates 512 filter responses.,
PVT,channel dimension growth,The progressive increase of embedding dimension (channel count) across pyramid stages to boost representational capacity at coarser resolutions. Increasing channels at higher stages enhances feature richness for complex tasks.,PVT grows its channel dims from 64 at Stage 1 up to 512 at Stage 4 to capture higher-level semantics.,
FPNet,channel grouping,"Dividing feature channels into disjoint groups that are processed separately, reducing computational cost and encouraging diverse feature representations within each group.",Splitting 128 channels into 4 groups of 32 for grouped convolutions in the frequency module.,
PVT,channel projection,A linear layer that changes the channel (embedding) dimension of token features. It’s used in FFNs and patch merging to adjust feature sizes for subsequent processing.,"When merging four 64-dim tokens into one in PVT’s patch merging, a 256×128 projection matrix reduces concatenated features to a 128-dim embedding.",
RFB,channel reduction,Using 1×1 conv to decrease channel count of a concatenated tensor to control model size.,A 1×1 conv maps 1536 channels down to 512 after RFB concat.,
FPNet,channel shuffle,A post-group-convolution operation that permutes channel order to allow cross-group information exchange. It mitigates the isolation caused by channel grouping.,Shuffling grouped outputs so high- and low-frequency information intermix before the next block.,
RFB,channel-wise concatenation,Stacking feature maps along the channel axis to combine multiple branch outputs.,Three 512-channel branch outputs yield a 1536-channel tensor.,
FPNet,channel-wise multiplication,"Element-wise product between a channel attention map (weights per channel) and feature map, emphasizing more informative channels while attenuating others.",Multiplying a 1×1×256 channel weight vector with a feature map to boost object channels.,
SAM,channel-wise multiplication,Broadcasting and multiplying a C×1×1 attention map across H×W to reweight channels.,Applying a 256×1×1 map to a 256×14×14 feature by repeating it spatially.,
SAM,channel-wise pooling,Reducing spatial dimensions by summarizing each channel via pooling (average or max). Provides channel descriptors.,Global average pooling of channel 10 yields the mean activation over all pixels in that channel.,
FPNet,checkpointing,Saving model parameter snapshots at intervals during training to enable resumption or rollback.,Storing FPNet’s weights every 10 epochs and retaining the best validation MAE checkpoint.,
SAM,CIFAR benchmarks,"Standard datasets (CIFAR-10/100) for evaluating small-scale image classification, used in network comparisons.",WideResNet-28-10 achieves 96.0% accuracy on CIFAR-10.,
FPNet,class imbalance,"Unequal ratio of object to background pixels, common when camouflaged objects occupy small image areas.",Adjusting loss weights in FPNet because camouflaged snakes cover <5% of most forest images.,
SINet,class-independent task,"A formulation where the model learns to detect objects without relying on specific category labels. COD is class-independent because camouflaged objects of any class must be found, regardless of category.","SINet assigns every pixel a confidence score pi, rather than one of K class scores, enabling it to detect unknown camouflage types.",
PVT,classification head,"A small prediction network (often an FFN) that takes per-token features and outputs class scores (e.g., object categories or pixel labels) for classification or segmentation.","For semantic segmentation, the head takes each 56×56 token from Stage 1 and projects it to a softmax over 150 ADE20K classes.",
RFB,classification head,"The branch of the detection head that predicts class confidence scores for each default box, usually via Softmax cross-entropy loss.","On conv11_2, the classification head is a 3×3 conv producing 21 scores (20 object classes + background) per anchor.",
RFB,classification loss,The softmax cross-entropy loss measuring error in class prediction for each default box.,A default box with true class dog gets −log(p_dog) added to classification loss.,
SAM,classification task,Predicting discrete labels (classes) for input images. CBAM improves classification accuracy by refining features.,ImageNet classification with 1 000 classes is a large-scale classification task.,
FPNet,closing,"A dilation followed by erosion, used to close small holes or gaps within segmentation masks.",Applying closing to fill small gaps inside the segmented rabbit mask.,
FPNet,co-occurrence feature,"A joint descriptor capturing how frequency and RGB cues co-vary at the same spatial locations, reinforcing regions where both domains signal potential camouflage.",Concatenating DCT-based texture maps with CNN color features to highlight a hidden chameleon spot.,
SINet,coarse,Referring to low-resolution or approximate representations that capture broad object locations but lack detailed boundaries. Coarse maps guide subsequent refinement stages.,"The Search stage outputs a coarse 16×16 attention map that roughly indicates where a hidden frog may appear, before upsampling and refinement.",
