Term,Definition,Example
face recognition,Identifying or verifying individuals based on their facial features by matching to a known database.,Unlocking a smartphone by comparing a live selfie to the owner’s enrolled face template.
face recognition hard features,Manually designed facial measurements,Computing the distance between eye corners to identify a person
FAST,"Features from Accelerated Segment Test, a corner detection method",Real-time corner detection for object tracking in video
Faster R-CNN,"Two-stage object detector: Region Proposal Network generates candidate object boxes, followed by a classifier/regressor refining each proposal.",Detecting pedestrians and vehicles in autonomous-driving footage at 5 FPS on a GPU.
feature detection,Identifying salient points or regions in an image,Detecting Harris corners on building facades
feature engineering,Crafting custom features from raw data,Computing texture descriptors before feeding data into an SVM
feature extraction,Automatically deriving informative attributes from raw input,Using CNN layers to extract object representations
feature extractor,A module or algorithm that produces feature representations,SIFT descriptor generator for interest points
feature matching,Pairing features between images based on similarity,Matching ORB keypoints across consecutive video frames
feature vectors,Numerical arrays representing extracted features,A 128-dimensional SIFT descriptor for an image patch
features,Distinct measurable properties of an image,"Edges, corners, texture patterns"
feed-forward NN,Neural network where information flows in one direction—from input through hidden layers to output—without cycles or feedback loops.,A simple 3-layer perceptron classifying handwritten digits from MNIST.
fovea,Central part of the retina with high visual acuity,Humans focusing on text with their foveal region
FPGAs,"Field-Programmable Gate Arrays; reconfigurable silicon devices used to implement custom, parallelized image-processing pipelines.",An FPGA board in a machine-vision camera executing edge detection at 240 fps with ultra-low latency.
fully-connected layer,Neural network layer where each input neuron connects to every output neuron,Final dense layer in a CNN that outputs class probabilities
Gabor filters,Bandpass filters that capture spatial frequency and orientation information,Analyzing fingerprint ridge orientations
gamma correction,Nonlinear mapping of intensity values to compensate for the nonlinear response of display devices or human vision.,Applying an sRGB gamma curve (γ≈2.2) to linear camera data before showing it on a monitor.
gamma-ray band,Portion of the electromagnetic spectrum above X-rays,Imaging cosmic gamma-ray bursts with the Fermi telescope
Gaussian blur,Smoothing filter that applies a Gaussian kernel,Blurring background inPortrait mode to mimic shallow depth-of-field
gesture recognition,Interpreting human hand or body movements as input commands to interact with machines or software.,Controlling slideshow navigation with swipe gestures detected by a webcam.
GIF file type,Palette-based raster format with simple animation support,A short looping animation saved as spinner.gif
GIS,"Geographic Information System; software platform for storing, analyzing, and visualizing spatially referenced data and imagery.",Overlaying LiDAR-derived elevation models with aerial photographs in QGIS to plan flood mitigation projects.
granularity,"The fineness of sampling in either spatial or value domains, determining how finely details can be represented.",A coarse granularity in a 64×64-pixel thumbnail lacks detail compared to a 4K image.
graphic designer,"Professional who uses image-processing and DIM/CV tools to create visual content—logos, layouts, illustrations—for print or digital media.","Designing a magazine cover in Photoshop, combining type, photos, and composited illustrations."
grayscale,"Image representation using shades of gray only, typically storing one intensity value per pixel.",Converting a color scene into a single-channel 8-bit image with values from black (0) to white (255).
hand-crafted features,Manually defined measurements for image analysis,Computing histogram of oriented gradients (HOG) by hand
Harris,Corner detection algorithm that finds interest points,Detecting repeatable points on architectural structures
HCI,Human-Computer Interaction: study and design of interfaces,Designing a touchscreen layout for photo editing software
HDR imaging,Capturing or generating images with a higher dynamic range than standard sensors or displays to show detail in both shadows and highlights.,Merging bracketed exposures of a sunset into a single HDR image that preserves deep shadows and bright skies.
HEIC file type,High-efficiency image container using HEVC compression,iPhone photo stored as IMG_0001.heic
hidden layers,Intermediate layers in a neural network,Convolutional blocks in VGG between input and output
high-level image processing spectrum,Tasks that involve semantic understanding of image content,Recognizing activity in surveillance footage
histogram equalization,Contrast-enhancement technique that redistributes pixel intensities to produce a uniform histogram.,Enhancing a dimly lit photo so its dark regions become more distinguishable from midtones and highlights.
HOG,Histogram of Oriented Gradients: feature descriptor for object detection,Detecting pedestrians in street scenes
Hough transform,"Technique to detect parameterized shapes (lines, circles)",Finding lane lines in a road image by voting in Hough space
HSI color space,"Model with Hue, Saturation, Intensity to align loosely with human perception",Skin detection algorithm using HSI segmentation
HSV color space,"Cylindrical model with Hue, Saturation, Value",Photo editor adjusting V to brighten an image
Hubble telescope,Space-based optical telescope equipped with CCD/CMOS detectors capturing high-resolution images free from atmospheric distortion.,Hubble’s Ultra Deep Field image exposing thousands of distant galaxies billions of light-years away.
hue component,Attribute specifying the type of color (angle around a color wheel),Hue = 120° in HSV corresponds to pure green
Hugging Face,"An open platform and library hosting pre-trained models (including vision transformers), datasets, and deployment tools.",Fine-tuning a Vision Transformer from Hugging Face Transformers for custom image-classification tasks.
Human Computer Interface,HCI: interfaces enabling user–machine interaction,Voice-command menus for camera settings
human vision,Biological process by which eyes and brain interpret visual stimuli,Using depth cues such as stereopsis to perceive 3D structure
Illumination source,Any light-emitting device or natural source used to illuminate a scene for image acquisition.,"A ring-light LED array providing diffuse, shadow-free lighting in a dental intraoral camera."
image acquisition,Capturing or digitizing a scene into an image,Using a DSLR camera sensor to record a landscape
image alignment,Registering two or more images into a common coordinate frame,Aligning overlapping photos for panorama stitching
image compression,Reducing data size of images with minimal quality loss,Saving a photograph as a JPEG with 80% quality
image displays,"Output hardware (monitors, projectors) that render processed or raw image data into visible form for human observation.",A medical-grade 4 MP diagnostic display showing radiographs with calibrated luminance and contrast.
image enhancement,Improving visual quality or highlighting features,Applying contrast stretching to an underexposed photograph
image filters,Operations that modify pixel values based on neighborhood rules,Using a median filter to remove salt-and-pepper noise
image formation,The process by which light from a scene is projected and recorded by a sensor,Modeling pinhole camera projection for 3D reconstruction
image processing software,Tools or libraries for manipulating images,Using OpenCV in Python to detect faces
image processing spectrum,The full chain of processes from acquisition through analysis,From capturing a photo to extracting object counts
Image Processing Toolbox,"MATLAB toolbox offering functions for image filtering, enhancement, segmentation, and geometric transformations.",Applying imadjust to stretch contrast in a dimly lit photograph.
image restoration,Recovering a clean image from a degraded one,Deblurring a motion-blurred video frame
image sensors,"General category for devices (CCD, CMOS, etc.) that convert optical images into electronic signals for processing or storage.",A thermal camera’s microbolometer sensor array mapping infrared radiation to temperature values.
image sharpening,Enhancing edges and fine details,Applying an unsharp-mask filter to bring out texture
image stitching,Combining multiple images to form a seamless composite,Creating a 180° panorama from four overlapping shots
image transforms,Mathematical operations mapping images into alternate domains,Performing a 2D FFT to analyze frequency content
ImageNet,"Vast image database organized by WordNet hierarchy, widely used to pretrain deep networks via large-scale image classification.",Fine-tuning an ImageNet-pretrained ResNet on a medical-imaging task to improve classification accuracy.
imaging system,"Complete setup including optics, sensor, and processing chain to capture and interpret scenes","A drone-mounted camera with gimbal, CMOS sensor, and onboard FPGA for real-time stitching"
indexed image,Image whose pixel values reference entries in a color palette,8-bit GIF using a 256‐color table
indexed image - color map matrix,Table of RGB triplets corresponding to each index,"Palette entry 5 = (255,0,0) defines red"
indexed image - data matrix,Matrix of numeric indices that point into a colormap,"2D array [0,5,3,…] indexing palette entries"
industrial inspection,"Automated visual examination in manufacturing for defects, alignment, or assembly verification",Vision line checking PCB solder joints for missing components
infrared band,"Wavelengths between ~700 nm and 1 mm, sensitive to thermal emissions, used in night-vision and heat mapping",Thermal camera spotting hotspots in building inspections
intensity resolution,Number of discrete gray or color levels per pixel (bit depth),8-bit grayscale image offers 256 shades from black to white
internal image plane,Surface within an imaging system where light converges to form the focused image,The CMOS sensor in a smartphone sits at the internal image plane
Isopreference curve,"Graph showing combinations of image attributes (e.g., noise vs. blur) rated equally acceptable by observers",Designers selecting filter strength that trades off denoising and sharpness for same perceived quality
Java,"Statically typed, object-oriented language running on the Java Virtual Machine (JVM)",Using OpenCV’s Java API to build a cross-platform vision app
JAX,Python library for high-performance numerical computing and automatic differentiation,Using jax.vmap and jax.jit to vectorize and compile a differentiable Sobel filter
jitter,Temporal or spatial variation—often random—in image acquisition or display leading to instability,Slight frame-to-frame misalignment causing a shaky webcam feed
JPEG,Lossy compressed raster format using discrete cosine transform (DCT),Photographs saved at 80 % quality as .jpg for web publishing
JPEG file type,Lossy compressed raster image format using discrete cosine transform,Photograph saved as image.jpg for web display
k-NN,k-Nearest Neighbors—a non-parametric method classifying a sample based on majority vote of k closest training points,Classifying a flower species by comparing its features to the five nearest flowers in feature space
Keras,High-level neural-network API running on top of TensorFlow (and other backends) for rapid prototyping,Building a CNN with Sequential and Functional APIs to classify X-ray images
LANDSAT,Satellite program for Earth observation imagery,LANDSAT 8 capturing global land‐cover changes
law enforcement,"Application of vision algorithms for surveillance, forensics, or identification in policing contexts",Automated facial recognition on CCTV footage to flag suspects
LBP (Local Binary Patterns),Texture descriptor encoding the relationship between a pixel and its neighbors into a binary pattern,Building an LBP histogram to classify textures in fabric inspection
learned features,"Data representations distilled automatically by models (e.g., activations of hidden layers) versus hand-crafted descriptors",Deep network extracting texture patterns for face recognition
LeNet-5,Early convolutional architecture (7 layers) pioneered for digit recognition,Classifying MNIST handwritten digits with ~99% accuracy
lens,Optical element that gathers and focuses light onto an image plane,DSLR camera lens focusing a landscape onto its CMOS sensor
light receptors,General term for sensors that detect light in imaging devices,CCD arrays in astronomical telescopes registering faint starlight
Linux,Open-source Unix-like operating system kernel and distributions,Deploying a Dockerized TensorFlow inference service on Ubuntu
low-level image processing spectrum,"Pixel-level operations for noise suppression, contrast enhancement, and basic filtering",Applying histogram equalization to improve contrast in a dark photograph
luminance component,Perceptual brightness information of a color,Y channel in YCbCr representing grayscale intensity
lux,SI unit measuring illuminance (luminous flux per unit area),Indoor office lighting specified at ~500 lux
Mac OS,Apple’s proprietary Unix-based desktop operating system,Developing macOS Vision framework apps in Xcode
machine language pipeline,Sequence of steps for ML-based image analysis,Data preprocessing → model training → inference
machine learning,Algorithms that learn patterns from data to make predictions or decisions without explicit programming,"Training a CNN on ImageNet to classify 1,000 object categories"
machine learning algorithm,A procedure that learns patterns from data,Training an SVM to classify handwritten digits
machine learning techniques,Methods for training models or extracting patterns,Using k-means clustering to segment an image
machine perception,High-level interpretation of sensor data to infer semantics and context,Self-driving car interpreting traffic signs and pedestrian behavior
MATLAB,Numerical computing environment with an Image Processing Toolbox,Writing a script to perform morphological opening on a binary mask
medical visualization,Interactive rendering and analysis of medical image data—often in 3D or fused modalities,VR-based planning tool displaying segmented organs before surgery
microwave band,"Spectrum from 300 MHz to 300 GHz, penetrates clouds and vegetation, used in radar and remote sensing",Doppler weather radar detecting storm movements
mid-level image processing spectrum,"Region- or feature-based operations such as edge linking, region growing, and contour extraction",Extracting contiguous road boundaries after edge detection
MLPs,Multilayer perceptrons—fully connected networks with one or more hidden layers,Predicting image intensity from small patches
morphological processing,"Shape-based transformations using structuring elements (e.g., erosion, dilation)",Closing small gaps in a binary mask of scanned text by dilation then erosion
motion estimation,Calculating movement of objects or pixels between frames,Using block-matching to stabilize a shaky video
MRI,Non-invasive imaging using strong magnetic fields and radio pulses to produce detailed soft-tissue contrast,Brain scan revealing a glioma
natural light,Illumination provided by the sun or sky,Photographing outdoors at sunset
NDVI maps,Normalized Difference Vegetation Index maps derived from red and near-infrared bands to quantify vegetation health and coverage,Satellite NDVI map highlighting crop vigor across an agricultural region
neural network,"Computational model with interconnected layers of artificial neurons, capable of approximating complex functions",Feed-forward network identifying handwritten digits
neural style transfer,Technique that recombines the content of one image with the artistic style of another image via optimization,Rendering a photograph in the style of Van Gogh’s Starry Night
night-time lights of the world,Satellite-derived composite of artificial lighting visible at night,Mapping urban growth by night lights from VIIRS data
NOAA,"U.S. agency monitoring weather, oceans, and climate via satellites",Using NOAA GOES imagery to track hurricanes
noise reduction,Smoothing or averaging filters to attenuate random pixel-level variations,Applying a Gaussian blur to reduce sensor noise in low-light images
noise removal,Suppressing random or unwanted variations in pixel values,Applying a bilateral filter to reduce sensor noise
NTSC color space,Analog broadcast standard using YIQ channels,Standard‐definition television transmission under NTSC
NumPy,Fundamental package for numerical computing with N-dimensional array support,"Representing and manipulating an image as a 3D NumPy array (height, width, channels)"
Nyquist principle,Sampling theory requiring twice the maximum signal frequency to avoid aliasing,Choosing a camera sensor resolution to capture fine texture without aliasing
object classification,Assigning a semantic label to an entire image or region,Labeling cropped images of leaves as “maple” or “oak”
object detection,Localizing and classifying multiple objects within an image,"Drawing bounding boxes around cars, pedestrians, and traffic signs in street‐view photos"
object recognition,Verifying object identity or category by matching it against known instances,Confirming that two face crops correspond to the same person in access-control systems
object segmentation,Pixel-level partitioning of image regions into semantic or instance masks,Generating a binary mask isolating each cell in microscopy images
offset printing,"Indirect printing process transferring ink from plate to substrate, where digital proofs guide quality control",Using CV to inspect color registration on offset-printed brochures
ONNX,Open Neural Network Exchange format for interoperability between ML frameworks,Exporting a PyTorch YOLOv5 model to ONNX for deployment in a C++ application
opacity,"Degree of transparency encoded by the alpha channel, ranging from fully transparent (0) to opaque (1)",Overlay graphic with semi‐transparent watermark (opacity 0.5)
OpenCL,"Open standard for heterogeneous parallel computing across CPUs, GPUs, and other processors",Accelerating a Sobel filter on the GPU via an OpenCL kernel
OpenCV,Open-source C/C++ library (with Python/Java bindings) offering algorithms for real-time computer vision,Using cv::undistort to rectify fisheye images from a wide-angle lens
OpenGL,"Cross-platform API for rendering 2D/3D graphics, often leveraged for shader-based image processing",Writing a GLSL fragment shader to perform edge detection in a game engine
optic nerve,Bundle of nerve fibers transmitting electrical signals from the retina to the brain,Optic nerve carrying visual information to the visual cortex
optical flow,Field of apparent motion of brightness patterns between frames,Estimating flow vectors for video compression
optical path,"Trajectory that light follows through an optical system, including lenses and mirrors",The series of lenses and mirrors directing light inside a compound microscope
ORB (Oriented FAST and Rotated BRIEF),Combines the FAST keypoint detector and BRIEF descriptor with orientation compensation,SLAM pipeline extracting ORB features for real-time mapping on a mobile robot
output digitized image,Digital representation produced by sampling and quantizing an analog scene,Film scan saved as a TIFF file after drum‐scanner capture
PCA,Principal Component Analysis—a linear dimensionality-reduction technique projecting data onto orthogonal axes of maximum variance,"Reducing 1,024-D feature vectors to 100 principal components before classification"
perceived intensity,Human‐vision‐weighted brightness based on gamma and psychophysical response curves,Gamma‐corrected pixel values for linear display output
PET scan,Functional imaging that tracks a radio-labeled tracer’s metabolic uptake in tissues,Oncology study mapping glucose consumption in tumors
photodiodes,Semiconductor devices that generate electric current proportional to incident light,Photodiodes in a CMOS sensor array detecting scene brightness
photoreceptors,Cells or devices that detect photons and convert them into electrical signals,Rod cells in the eye enabling vision in dim lighting
Photoshop,Commercial image-editing application,Using the clone-stamp tool to remove blemishes
PIL (Pillow),"Python Imaging Library fork for opening, manipulating, and saving many image file formats","Loading a JPEG, resizing to 256×256, and saving as PNG"
Pixel,Smallest image unit representing a single color or intensity value,A 1920×1080 photo consists of about 2 million pixels
PNG,Lossless compressed raster format supporting truecolor and transparency,Diagrams exported with see‐through backgrounds in .png
PNG file type,Lossless compressed raster format supporting transparency,Logo saved as logo.png with an alpha channel
primary colors of light,"Additive primaries: red, green, blue",Combining red and green light yields yellow on a display
primary colors of pigment,"Subtractive primaries: cyan, magenta, yellow","Printing using cyan, magenta, and yellow inks"
Python,Dynamically typed scripting language with extensive ecosystem for scientific computing,Writing a NumPy + OpenCV script to detect edges in images
PyTorch,Python-first deep-learning framework with dynamic computation graphs and strong community support,Implementing a custom ResNet block and training on CIFAR-10
quantity domain,"Data representation where values denote measurable physical quantities (e.g., intensity, color)",Pixel intensity histogram analysis falls in the quantity domain
quantization,Process of mapping continuous analog values to a fixed set of discrete levels,Camera ADC converting sensor voltage to 12-bit digital values
radio band,"Electromagnetic spectrum from ~30 Hz to 300 GHz, used for long-range, low-resolution imaging",Radio telescopes mapping galactic hydrogen emissions
Ranger 7 probe,NASA’s 1964 lunar probe that transmitted high-resolution television images of the Moon’s surface moments before impact,Ranger 7’s close-up images resolving features as small as 115 m
RAW file type,Unprocessed sensor data file from digital cameras,Camera raw output DSC0001.raw for professional editing
real-time ALPR system,Automatic License Plate Recognition pipeline processing video or images to extract plate numbers instantly,Parking garage barrier lifting upon recognizing a resident’s license plate
ResNet,Residual network architecture introducing skip connections to enable ultra-deep models without vanishing gradients,Training a 50-layer ResNet for accurate image classification
ResNet-152,"Variant of ResNet with 152 layers, balancing depth and performance for large-scale image tasks",Fine-tuning ResNet-152 on a custom dataset of wildlife images
resolution,Pixel dimensions (width×height) or density (pixels per inch/mm) of an image,A 4K display with 3840×2160 pixels
retina,Light-sensitive layer of cells at the back of the eye that converts photons to signals,Human retina capturing visual scenes for processing by the brain
