Concept,Ideas
histogram equalization,more flexible than specific transformations
histogram equalization,does not always work if frequencies are segmented into partitions
histogram equalization,local histogram processing
spatial filtering,image processing
spatial filtering,neighborhood operations
spatial filtering,smoothing operations
spatial filtering,what happens at the edges?
spatial filtering,convolution
spatial filtering,correlation
spatial filtering,sharpening filters
spatial filtering,blurring filters
spatial filtering,combining filtering
spatial filtering - neighborhood,usually a rectangle around central pixel
spatial filtering - neighborhood,can be a circle around central pixel
spatial filtering - neighborhood,varying size filters
spatial filtering - neighborhood,varying shape filters
spatial filtering - neighborhood operations,"min, minimum"
spatial filtering - neighborhood operations,"max, maximum"
spatial filtering - neighborhood operations,median
spatial filtering - neighborhood operations,average
spatial filtering - neighborhood operations,"linear, is reversible"
spatial filtering - linear operations,general formula
spatial filtering - smoothing filters,average of pixels in neighborhood
spatial filtering - smoothing filters,useful for removing noise
spatial filtering - smoothing filters,formula
spatial filtering - weighted smoothing filters,example formula
spatial filtering - weighted smoothing filters,weighted averaging
spatial filtering - smoothing filters,smoothing followed by thresholding
spatial filtering - smoothing filters,sometimes median filter works better than averaging filter
spatial filtering - smoothing filters,salt and pepper noise
spatial filtering - smoothing filters,"impulse noise, median filter works well"
spatial filtering - smoothing filters,but median filter is not linear
spatial filtering - smoothing filters,median filter preserves edges better than averaging filter
spatial filtering - smoothing filters,what happens at the borders
spatial filtering - smoothing filters,preprocess before filtering operations by padding
spatial filtering - preprocess for border anomalies,omit problematic pixels
spatial filtering - preprocess for border anomalies,pad around the borders
spatial filtering - preprocess for border anomalies,replicate border pixels
spatial filtering - preprocess for border anomalies,allow wrap around
spatial filtering - correlation,correlation kernel
spatial filtering - convolution,same as correlation except with flipped kernel
spatial filtering - smoothing filters,correlation and convolution same if symetric kernel
spatial filtering - sharpening filters,attempt to highlight detail
spatial filtering - sharpening filters,remove blurring
spatial filtering - sharpening filters,highlight edges
spatial filtering - sharpening filters,spatial differentiation
spatial filtering - sharpening filters,"first derivative, f(x + 1) - f(x)"
spatial filtering - sharpening filters,first derivative gives thicker edges
spatial filtering - sharpening filters,"second derivative, f(x + 1) + f(x - 1) - 2 * f(x)"
spatial filtering - sharpening filters,gradient direction
spatial filtering - sharpening filters,edge strength
spatial filtering - sharpening filters,behavior of first and second derivatives around edges
spatial filtering - sharpening filters,Laplacian filter
spatial filtering - Laplacian filter,formula
spatial filtering - Laplacian filter,highlights edges and other discontinuities
spatial filtering - Laplacian filter,subtract Laplacian result from original
spatial filtering - Laplacian filter,"g(x, y) = f(x, y) - Laplacian(x, y)"
spatial filtering - Laplacian filter,"simplified filter, [[0, -1, 0], [-1, 5, -1], [0, -1, 0]]"
spatial filtering - Laplacian filter,"variant filter, [[-1, -1, -1], [-1, 9, -1], [-1, -1, -1]]"
spatial filtering - unsharp masking,used by the printing industry
spatial filtering - unsharp masking,"mask, subtract a smooth image from an original"
spatial filtering - unsharp masking,add the mask to the original
spatial filtering - unsharp masking,highboost filter
spatial filtering - first derivative filtering,difficult in practice
spatial filtering - sobel operators,"[[-1, -2, -1], [0, 0, 0], [1, 2, 1]] [[-1, 0, 1], [-2, 0, 2], [-1, 0, 1]]"
spatial filtering - sobel operators,correlation and convolution are the same
spatial filtering - combining filtering,construct a sequence of operations
frequency filtering,image processing
frequency filtering,"DFT, discrete fourier transform"
frequency filtering,low pass filtering for image smoothing
frequency filtering,high pass filtering for image sharpening
frequency filtering,selective filtering for removing periodic interference
frequency filtering,"IDFT, inverse discrete fourier transform"
frequency filtering - DFT,formula
frequency filtering - IDFT,formula
frequency filtering,frequency rectangle
frequency filtering,F is a matrix of complex numbers
frequency filtering,"F(0, 0), DC component"
frequency filtering,"F(0, 0) = M * N * average of f(x, y)"
frequency filtering,"power spectrum, visualize F using magnitude of complex numbers"
frequency filtering,periodic nature
frequency filtering,spatial domain convolution is frequency domain multiplication
frequency filtering,filter transfer function
frequency filtering,"low pass filter, same size as frequency rectangle"
frequency filtering,spatial domain padding to help rectify periodic nature
frequency filtering,"padding with 3 x rectangle on right, bottom, and diagonal"
frequency filtering,calculating distances within frequency rectangle
frequency filtering,"ILPF, ideal lowpass filter"
frequency filtering,Butterworth lowpass filter
frequency filtering,Gaussian lowpass filter
frequency filtering - Ideal lowpass,formula
frequency filtering - Butterworth lowpass,formula
frequency filtering - Gaussian lowpass,formula
frequency filtering,highpass filters
frequency filtering,high frequency emphasis filtering
frequency filtering,sometimes used as features for training
